Time,Red Objects,Yellow Objects,Green Objects,Total Energy (Red),Total Energy (Yellow),Total Energy (Green)
251,0,3,27,0,367.746875000061,792.0000000000915
252,0,3,25,0,361.7468750000613,752.500000000085
253,0,3,25,0,355.6468750000617,715.0000000000857
254,0,3,25,0,349.64687500006204,677.5000000000863
255,0,3,21,0,394.79687500006514,591.0000000000734
256,0,3,21,0,388.7968750000655,559.5000000000739
257,0,3,21,0,382.7968750000658,528.0000000000745
258,0,3,21,0,376.4968750000662,496.5000000000751
259,0,3,21,0,370.49687500006655,465.0000000000757
260,0,3,21,0,364.4968750000669,433.5000000000764
261,0,3,21,0,358.49687500006723,402.00000000007657
262,0,3,18,0,352.4968750000676,372.0000000000658
263,0,3,18,0,346.4968750000679,345.0000000000657
264,0,3,15,0,340.49687500006826,319.50000000005497
265,0,3,14,0,343.7968750000721,288.50000000005133
266,0,3,14,0,337.7968750000724,267.50000000005133
267,0,3,13,0,337.3968750000763,241.00000000004786
268,0,3,13,0,331.39687500007665,221.50000000004778
269,0,3,13,0,325.396875000077,202.0000000000476
270,0,3,13,0,319.1968750000774,182.5000000000474
271,0,3,9,0,312.8968750000777,165.00000000003303
272,0,3,9,0,306.89687500007807,151.50000000003286
273,0,3,9,0,300.6968750000784,138.00000000003266
274,0,3,9,0,294.69687500007876,124.50000000003246
275,0,3,9,0,288.6968750000791,111.00000000003227
276,0,3,9,0,282.69687500007944,97.50000000003209
277,0,3,9,0,276.6968750000797,84.00000000003202
278,0,3,9,0,270.69687500007984,70.500000000032
279,0,3,9,0,264.69687500008,57.000000000032
280,0,3,9,0,258.69687500008024,43.500000000031996
281,0,3,9,0,252.49687500008045,30.00000000003196
282,0,3,2,0,246.49687500008065,20.000000000007105
283,0,3,2,0,240.49687500008085,17.000000000007063
284,0,3,2,0,234.49687500008105,14.000000000007056
285,0,3,2,0,228.49687500008125,11.000000000007066
286,0,3,2,0,222.49687500008145,8.000000000007077
287,0,3,2,0,216.49687500008164,5.000000000007088
288,0,3,2,0,210.39687500008185,2.0000000000070894
289,0,3,0,0,204.39687500008205,0
290,0,3,0,0,198.19687500008223,0
291,0,3,0,0,192.19687500008246,0
292,0,3,0,0,186.19687500008263,0
293,0,3,0,0,180.19687500008285,0
294,0,3,0,0,174.19687500008303,0
295,0,3,0,0,168.19687500008325,0
296,0,3,0,0,162.19687500008342,0
297,0,3,0,0,156.19687500008365,0
298,0,3,0,0,150.19687500008376,0
299,0,3,0,0,144.19687500008382,0
300,0,3,0,0,138.19687500008382,0
301,0,3,0,0,132.1968750000838,0
302,0,3,0,0,125.89687500008372,0
303,0,3,0,0,119.89687500008368,0
304,0,3,0,0,113.89687500008363,0
305,0,3,0,0,107.89687500008358,0
306,0,3,0,0,101.89687500008353,0
307,0,3,0,0,95.89687500008347,0
308,0,2,0,0,90.18125000005821,0
309,0,2,0,0,86.18125000005816,0
310,0,2,0,0,82.1812500000581,0
311,0,2,0,0,78.18125000005804,0
312,0,2,0,0,74.18125000005799,0
313,0,2,0,0,69.98125000005794,0
314,0,2,0,0,65.98125000005788,0
315,0,2,0,0,61.98125000005782,0
316,0,2,0,0,57.98125000005776,0
317,0,2,0,0,53.981250000057706,0
318,0,2,0,0,49.781250000057646,0
319,0,2,0,0,45.78125000005759,0
320,0,2,0,0,41.78125000005753,0
321,0,2,0,0,37.781250000057476,0
322,0,2,0,0,33.78125000005744,0
323,0,2,0,0,29.581250000057416,0
324,0,2,0,0,25.581250000057416,0
325,0,2,0,0,21.58125000005743,0
326,0,2,0,0,17.38125000005745,0
327,0,2,0,0,13.181250000057462,0
328,0,2,0,0,9.181250000057469,0
329,0,2,0,0,5.181250000057475,0
330,0,1,0,0,2.665625000030663,0
331,0,1,0,0,0.6656250000306616,0
